id;isbn;name;publish_year;copies;cover;cover_content_type
1;Table Fish;Dynamic programming;forecast;6904;../fake-data/blob/hipster.png;image/png
2;Principal com;Director high-level Pass;Borders Sudan Mall;30968;../fake-data/blob/hipster.png;image/png
3;ADP synthesiz;Representative parsing;calculating;58587;../fake-data/blob/hipster.png;image/png
4;connecting;Soft;bleeding-edge Georgia Generic;75642;../fake-data/blob/hipster.png;image/png
5;limeX;Bacon optical blockchains;Fish Port;63557;../fake-data/blob/hipster.png;image/png
6;Soft transmit;Territory generate;deposit Cambridgeshire;11906;../fake-data/blob/hipster.png;image/png
7;e-business in;Sweden Personal programming;Books transmitter;23182;../fake-data/blob/hipster.png;image/png
8;compressing T;Dominica;input;33491;../fake-data/blob/hipster.png;image/png
9;Nebraska Sout;e-tailers functionalities Supervisor;payment Toys Home;46751;../fake-data/blob/hipster.png;image/png
10;Paradigm calc;quantify;Andorra blue SMS;96569;../fake-data/blob/hipster.png;image/png
